1 はずれ
左1→中3→右19 ×
左1→中17→右19 ×
左1→中18→右1 ×
左1→右5→中19 ×
左1→右19→中19 ×
左6→中17→右1 ×
左6→右19→中19 ×
左7→中18→右3 ×
左8→中18→右1 ×
左8→右19→中1 ×
左13→中3→右7 ×
左13→中8→右7 ×
左13→中17→右7 ×
左13→中18→右5 ×
左15→中18→右1 ×
左15→右5→中19 ×
左15→右9→中19 ×
左15→右14→中19 ×
左15→右19→中19 ×
左20→中3→右1 ×
左20→中8→右1 ×
左20→中17→右1 ×
左20→中20→右1 ×
左20→右13→中20 ×
左20→右18→中20 ×
左20→右19→中19 ×
左21→中3→右1 ×
左21→中8→右1 ×
左21→中17→右1 ×
左21→中18→右3 ×
左21→中20→右1 ×
左21→右11→中20 ×
中1→左3→右1 ×
中1→左10→右1 ×
中1→左17→右1 ×
中1→右3→左5 ×
中1→右5→左17 ×
中1→右7→左5 ×
中1→右8→左17 ×
中1→右9→左17 ×
中1→右12→左5 ×
中1→右14→左17 ×
中1→右17→左5 ×
中1→右19→左17 ×
中1→右20→左5 ×
中2→右2→左13 ×
中2→右3→左18 ×
中2→右5→左5 ×
中2→右6→左13 ×
中2→右8→左17 ×
中2→右9→左5 ×
中2→右11→左13 ×
中2→右13→左20 ×
中2→右14→左5 ×
中2→右16→左13 ×
中2→右17→左17 ×
中2→右18→左20 ×
中2→右19→左1 ×
中2→右17 ×
中3→左1→右19 ×
中3→左13→右7 ×
中3→左20→右1 ×
中3→左21→右1 ×
中3→右4→左6 ×
中3→右6→左15 ×
中3→右7→左1 ×
中3→右8→左13 ×
中3→右11→左1 ×
中3→右12→左1 ×
中3→右13→左3 ×
中3→右14→左15 ×
中3→右18→左3 ×
中3→右20→左1 ×
中3→右21→左13 ×
中3→右14 ×
中4→右3→左2 ×
中4→右17→左2 ×
中5→右3→左3 ×
中5→右7→左17 ×
中5→右8→左17 ×
中5→右12→左17 ×
中5→右17→左3 ×
中5→右20→左17 ×
中6→左3→右1 ×
中6→左10→右1 ×
中6→左17→右1 ×
中6→右5→左17 ×
中6→右8→左17 ×
中6→右9→左17 ×
中6→右14→左17 ×
中6→右17→左14 ×
中6→右19→左17 ×
中7→右5→左7 ×
中7→右9→左7 ×
中7→右14→左7 ×
中7→右19→左1 ×
中8→左4→右1 ×
中8→左13→右7 ×
中8→左18→右1 ×
中8→左20→右1 ×
中8→左21→右1 ×
中8→右4→左3 ×
中8→右6→左15 ×
中8→右7→左1 ×
中8→右8→左3 ×
中8→右11→左1 ×
中8→右12→左1 ×
中8→右13→左3 ×
中8→右14→左16 ×
中8→右18→左3 ×
中8→右20→左1 ×
中8→右21→左3 ×
中8→右14 ×
中10→右3→左17 ×
中10→右7→左17 ×
中10→右8→左17 ×
中10→右12→左17 ×
中10→右17→左17 ×
中10→右20→左17 ×
中11→左3→右1 ×
中11→左10→右1 ×
中11→左17→右1 ×
中11→右4→左6 ×
中11→右5→左17 ×
中11→右8→左17 ×
中11→右9→左17 ×
中11→右14→左17 ×
中11→右17→左14 ×
中11→右19→左17 ×
中12→右3→左2 ×
中12→右5→左1 ×
中12→右9→左1 ×
中12→右14→左1 ×
中12→右17→左2 ×
中12→右19→左1 ×
中13→左4→右1 ×
中13→左18→右1 ×
中13→右2→左1 ×
中13→右3→左1 ×
中13→右4→左16 ×
中13→右6→左15 ×
中13→右7→左1 ×
中13→右8→左16 ×
中13→右11→左1 ×
中13→右12→左1 ×
中13→右13→左3 ×
中13→右14→左16 ×
中13→右16→左1 ×
中13→右17→左1 ×
中13→右18→左3 ×
中13→右19→左15 ×
中13→右20→左1 ×
中13→右21→左16 ×
中13→右1 ×
中14→右3→左3 ×
中14→右7→左3 ×
中14→右12→左3 ×
中14→右17→左3 ×
中14→右20→左3 ×
中15→左3→右1 ×
中15→左10→右1 ×
中15→左17→右1 ×
中15→右3→左5 ×
中15→右5→左17 ×
中15→右7→左5 ×
中15→右8→左17 ×
中15→右9→左17 ×
中15→右12→左5 ×
中15→右14→左17 ×
中15→右17→左5 ×
中15→右19→左17 ×
中15→右20→左5 ×
中16→右2→左13 ×
中16→右3→左18 ×
中16→右5→左5 ×
中16→右6→左13 ×
中16→右8→左17 ×
中16→右9→左5 ×
中16→右11→左13 ×
中16→右13→左20 ×
中16→右14→左5 ×
中16→右16→左13 ×
中16→右17→左17 ×
中16→右18→左20 ×
中16→右19→左1 ×
中16→右17 ×
中17→左1→右19 ×
中17→左2→右1 ×
中17→左6→右1 ×
中17→左9→右1 ×
中17→左13→右7 ×
中17→左16→右1 ×
中17→左20→右1 ×
中17→左21→右1 ×
中17→右3→左1 ×
中17→右4→左13 ×
中17→右6→左15 ×
中17→右7→左1 ×
中17→右8→左13 ×
中17→右11→左1 ×
中17→右12→左1 ×
中17→右13→左3 ×
中17→右14→左15 ×
中17→右17→左1 ×
中17→右18→左3 ×
中17→右20→左1 ×
中17→右21→左13 ×
中17→右14 ×
中18→左1→右1 ×
中18→左3→右1 ×
中18→左4→右1 ×
中18→左7→右3 ×
中18→左8→右1 ×
中18→左10→右1 ×
中18→左11→右1 ×
中18→左13→右5 ×
中18→左15→右1 ×
中18→左17→右1 ×
中18→左18→右1 ×
中18→左21→右3 ×
中18→左4 ×
中19→右2→左13 ×
中19→右3→左18 ×
中19→右5→左5 ×
中19→右6→左13 ×
中19→右8→左17 ×
中19→右9→左5 ×
中19→右11→左13 ×
中19→右13→左20 ×
中19→右14→左5 ×
中19→右16→左13 ×
中19→右17→左17 ×
中19→右18→左20 ×
中19→右19→左1 ×
中19→右17 ×
中20→左20→右1 ×
中20→左21→右1 ×
中20→右2→左15 ×
中20→右3→左7 ×
中20→右4→左13 ×
中20→右6→左15 ×
中20→右7→左1 ×
中20→右8→左13 ×
中20→右11→左1 ×
中20→右12→左1 ×
中20→右13→左3 ×
中20→右14→左15 ×
中20→右17→左7 ×
中20→右18→左3 ×
中20→右19→左15 ×
中20→右20→左1 ×
中20→右21→左13 ×
中20→右1 ×
中21→右3→左3 ×
中21→右7→左3 ×
中21→右12→左3 ×
中21→右17→左17 ×
中21→右20→左3 ×
中20で詰みました
